cell_id,row,col,elevation_m,slope_ratio,flow_distance_m,direction,downstream_cell,state,is_boundary,is_outlet
C00223,11,2,21.3,0.084853,14.14,SE,C00244,downstream,False,False
C00224,11,3,20.8,0.084853,14.14,SE,C00245,downstream,False,False
C00225,11,4,20.3,0.1,10.0,E,C00226,downstream,False,False
C00226,11,5,19.3,0.1,10.0,E,C00227,downstream,False,False
C00227,11,6,18.3,0.1,10.0,E,C00228,downstream,False,False
C00228,11,7,17.3,0.1,10.0,E,C00229,downstream,False,False
C00229,11,8,16.3,0.1,10.0,E,C00230,downstream,False,False
C00230,11,9,15.3,0.1,10.0,E,C00231,downstream,False,False
C00231,11,10,14.3,0.1,10.0,E,C00232,downstream,False,False
C00232,11,11,13.3,0.084853,14.14,SE,C00253,downstream,False,False
C00233,11,12,13.3,0.12,10.0,S,C00253,downstream,False,False
C00234,11,13,13.3,0.12,10.0,S,C00254,downstream,False,False
C00235,11,14,13.3,0.12,10.0,S,C00255,downstream,False,False
C00236,11,15,13.3,0.12,10.0,S,C00256,downstream,False,False
C00237,11,16,13.3,0.12,10.0,S,C00257,downstream,False,False
C00238,11,17,13.3,0.12,10.0,S,C00258,downstream,False,False
C00239,11,18,13.3,0.12,10.0,S,C00259,downstream,False,False
C00240,11,19,12.8,0.07,10.0,S,C00260,downstream,True,False
C00241,12,0,21.6,0.084853,14.14,SE,C00262,downstream,True,False
C00242,12,1,21.1,0.084853,14.14,SE,C00263,downstream,False,False
C00243,12,2,20.6,0.084853,14.14,SE,C00264,downstream,False,False
C00244,12,3,20.1,0.084853,14.14,SE,C00265,downstream,False,False
C00245,12,4,19.6,0.084853,14.14,SE,C00266,downstream,False,False
C00246,12,5,19.1,0.1,10.0,E,C00247,downstream,False,False
C00247,12,6,18.1,0.1,10.0,E,C00248,downstream,False,False
C00248,12,7,17.1,0.1,10.0,E,C00249,downstream,False,False
C00249,12,8,16.1,0.1,10.0,E,C00250,downstream,False,False
C00250,12,9,15.1,0.1,10.0,E,C00251,downstream,False,False
C00251,12,10,14.1,0.1,10.0,E,C00252,downstream,False,False
C00252,12,11,13.1,0.1,10.0,E,C00253,downstream,False,False
C00253,12,12,12.1,0.084853,14.14,SE,C00274,downstream,False,False
C00254,12,13,12.1,0.12,10.0,S,C00274,downstream,False,False
C00255,12,14,12.1,0.12,10.0,S,C00275,downstream,False,False
C00256,12,15,12.1,0.12,10.0,S,C00276,downstream,False,False
C00257,12,16,12.1,0.12,10.0,S,C00277,downstream,False,False
C00258,12,17,12.1,0.12,10.0,S,C00278,downstream,False,False
C00259,12,18,12.1,0.12,10.0,S,C00279,downstream,False,False
C00260,12,19,12.1,0.12,10.0,S,C00280,downstream,True,False
C00261,13,0,20.9,0.084853,14.14,SE,C00282,downstream,True,False
C00262,13,1,20.4,0.084853,14.14,SE,C00283,downstream,False,False
C00263,13,2,19.9,0.084853,14.14,SE,C00284,downstream,False,False
C00264,13,3,19.4,0.084853,14.14,SE,C00285,downstream,False,False
C00265,13,4,18.9,0.084853,14.14,SE,C00286,downstream,False,False
C00266,13,5,18.4,0.084853,14.14,SE,C00287,downstream,False,False
C00267,13,6,17.9,0.1,10.0,E,C00268,downstream,False,False
C00268,13,7,16.9,0.1,10.0,E,C00269,downstream,False,False
C00269,13,8,15.9,0.1,10.0,E,C00270,downstream,False,False
C00270,13,9,14.9,0.1,10.0,E,C00271,downstream,False,False
C00271,13,10,13.9,0.1,10.0,E,C00272,downstream,False,False
C00272,13,11,12.9,0.1,10.0,E,C00273,downstream,False,False
C00273,13,12,11.9,0.1,10.0,E,C00274,downstream,False,False
C00274,13,13,10.9,0.06364,14.14,SE,C00295,downstream,False,False
C00275,13,14,10.9,0.09,10.0,S,C00295,downstream,False,False
C00276,13,15,10.9,0.09,10.0,S,C00296,downstream,False,False
C00277,13,16,10.9,0.09,10.0,S,C00297,downstream,False,False
C00278,13,17,10.9,0.09,10.0,S,C00298,downstream,False,False
C00279,13,18,10.9,0.09,10.0,S,C00299,downstream,False,False
C00280,13,19,10.9,0.09,10.0,S,C00300,downstream,True,False
C00281,14,0,20.2,0.084853,14.14,SE,C00302,downstream,True,False
C00282,14,1,19.7,0.084853,14.14,SE,C00303,downstream,False,False
C00283,14,2,19.2,0.084853,14.14,SE,C00304,downstream,False,False
C00284,14,3,18.7,0.084853,14.14,SE,C00305,downstream,False,False
C00285,14,4,18.2,0.084853,14.14,SE,C00306,downstream,False,False
C00286,14,5,17.7,0.084853,14.14,SE,C00307,downstream,False,False
C00287,14,6,17.2,0.084853,14.14,SE,C00308,downstream,False,False
C00288,14,7,16.7,0.1,10.0,E,C00289,downstream,False,False
C00289,14,8,15.7,0.1,10.0,E,C00290,downstream,False,False
C00290,14,9,14.7,0.1,10.0,E,C00291,downstream,False,False
C00291,14,10,13.7,0.1,10.0,E,C00292,downstream,False,False
C00292,14,11,12.7,0.1,10.0,E,C00293,downstream,False,False
C00293,14,12,11.7,0.1,10.0,E,C00294,downstream,False,False
C00294,14,13,10.7,0.07,10.0,E,C00295,downstream,False,False
C00295,14,14,10.0,0.0,0.0,,,flat_sink,False,False
C00296,14,15,10.0,0.0,0.0,,,flat_sink,False,False
C00297,14,16,10.0,0.0,0.0,,,flat_sink,False,False
C00298,14,17,10.0,0.0,0.0,,,flat_sink,False,False
C00299,14,18,10.0,0.0,0.0,,,flat_sink,False,False
C00300,14,19,10.0,0.0,0.0,,,boundary_exit,True,False
C00301,15,0,19.5,0.084853,14.14,SE,C00322,downstream,True,False
C00302,15,1,19.0,0.084853,14.14,SE,C00323,downstream,False,False
C00303,15,2,18.5,0.084853,14.14,SE,C00324,downstream,False,False
C00304,15,3,18.0,0.084853,14.14,SE,C00325,downstream,False,False
C00305,15,4,17.5,0.084853,14.14,SE,C00326,downstream,False,False
C00306,15,5,17.0,0.084853,14.14,SE,C00327,downstream,False,False
C00307,15,6,16.5,0.084853,14.14,SE,C00328,downstream,False,False
C00308,15,7,16.0,0.084853,14.14,SE,C00329,downstream,False,False
C00309,15,8,15.5,0.1,10.0,E,C00310,downstream,False,False
C00310,15,9,14.5,0.1,10.0,E,C00311,downstream,False,False
C00311,15,10,13.5,0.1,10.0,E,C00312,downstream,False,False
C00312,15,11,12.5,0.1,10.0,E,C00313,downstream,False,False
C00313,15,12,11.5,0.1,10.0,E,C00314,downstream,False,False
C00314,15,13,10.5,0.05,10.0,E,C00315,downstream,False,False
C00315,15,14,10.0,0.0,0.0,,,flat_sink,False,False
C00316,15,15,10.0,0.0,0.0,,,flat_sink,False,False
C00317,15,16,10.0,0.0,0.0,,,flat_sink,False,False
C00318,15,17,10.0,0.0,0.0,,,flat_sink,False,False
C00319,15,18,10.0,0.0,0.0,,,flat_sink,False,False
C00320,15,19,10.0,0.0,0.0,,,boundary_exit,True,False
C00321,16,0,18.8,0.084853,14.14,SE,C00342,downstream,True,False
C00322,16,1,18.3,0.084853,14.14,SE,C00343,downstream,False,False
C00323,16,2,17.8,0.084853,14.14,SE,C00344,downstream,False,False
C00324,16,3,17.3,0.084853,14.14,SE,C00345,downstream,False,False
C00325,16,4,16.8,0.084853,14.14,SE,C00346,downstream,False,False
C00326,16,5,16.3,0.084853,14.14,SE,C00347,downstream,False,False
C00327,16,6,15.8,0.084853,14.14,SE,C00348,downstream,False,False
C00328,16,7,15.3,0.084853,14.14,SE,C00349,downstream,False,False
C00329,16,8,14.8,0.084853,14.14,SE,C00350,downstream,False,False
C00330,16,9,14.3,0.1,10.0,E,C00331,downstream,False,False
C00331,16,10,13.3,0.1,10.0,E,C00332,downstream,False,False
C00332,16,11,12.3,0.1,10.0,E,C00333,downstream,False,False
C00333,16,12,11.3,0.1,10.0,E,C00334,downstream,False,False
C00334,16,13,10.3,0.03,10.0,E,C00335,downstream,False,False
C00335,16,14,10.0,0.0,0.0,,,flat_sink,False,False
C00336,16,15,10.0,0.0,0.0,,,flat_sink,False,False
C00337,16,16,10.0,0.0,0.0,,,flat_sink,False,False
C00338,16,17,10.0,0.0,0.0,,,flat_sink,False,False
C00339,16,18,10.0,0.0,0.0,,,flat_sink,False,False
C00340,16,19,10.0,0.0,0.0,,,boundary_exit,True,False
C00341,17,0,18.1,0.084853,14.14,SE,C00362,downstream,True,False
C00342,17,1,17.6,0.084853,14.14,SE,C00363,downstream,False,False
C00343,17,2,17.1,0.084853,14.14,SE,C00364,downstream,False,False
C00344,17,3,16.6,0.084853,14.14,SE,C00365,downstream,False,False
C00345,17,4,16.1,0.084853,14.14,SE,C00366,downstream,False,False
C00346,17,5,15.6,0.084853,14.14,SE,C00367,downstream,False,False
C00347,17,6,15.1,0.084853,14.14,SE,C00368,downstream,False,False
C00348,17,7,14.6,0.084853,14.14,SE,C00369,downstream,False,False
C00349,17,8,14.1,0.084853,14.14,SE,C00370,downstream,False,False
C00350,17,9,13.6,0.084853,14.14,SE,C00371,downstream,False,False
C00351,17,10,13.1,0.1,10.0,E,C00352,downstream,False,False
C00352,17,11,12.1,0.1,10.0,E,C00353,downstream,False,False
C00353,17,12,11.1,0.1,10.0,E,C00354,downstream,False,False
C00354,17,13,10.1,0.01,10.0,E,C00355,downstream,False,False
C00355,17,14,10.0,0.0,0.0,,,flat_sink,False,False
C00356,17,15,10.0,0.0,0.0,,,flat_sink,False,False
C00357,17,16,10.0,0.0,0.0,,,flat_sink,False,False
C00358,17,17,10.0,0.0,0.0,,,flat_sink,False,False
C00359,17,18,10.0,0.0,0.0,,,flat_sink,False,False
C00360,17,19,10.0,0.0,0.0,,,boundary_exit,True,False
C00361,18,0,17.4,0.084853,14.14,SE,C00382,downstream,True,False
C00362,18,1,16.9,0.084853,14.14,SE,C00383,downstream,False,False
C00363,18,2,16.4,0.084853,14.14,SE,C00384,downstream,False,False
C00364,18,3,15.9,0.084853,14.14,SE,C00385,downstream,False,False
C00365,18,4,15.4,0.084853,14.14,SE,C00386,downstream,False,False
C00366,18,5,14.9,0.084853,14.14,SE,C00387,downstream,False,False
C00367,18,6,14.4,0.084853,14.14,SE,C00388,downstream,False,False
C00368,18,7,13.9,0.084853,14.14,SE,C00389,downstream,False,False
C00369,18,8,13.4,0.084853,14.14,SE,C00390,downstream,False,False
C00370,18,9,12.9,0.084853,14.14,SE,C00391,downstream,False,False
C00371,18,10,12.4,0.084853,14.14,SE,C00392,downstream,False,False
C00372,18,11,11.9,0.1,10.0,E,C00373,downstream,False,False
C00373,18,12,10.9,0.09,10.0,E,C00374,downstream,False,False
C00374,18,13,10.0,0.0,0.0,,,flat_sink,False,False
C00375,18,14,10.0,0.0,0.0,,,flat_sink,False,False
C00376,18,15,10.0,0.0,0.0,,,flat_sink,False,False
C00377,18,16,10.0,0.0,0.0,,,flat_sink,False,False
C00378,18,17,10.0,0.0,0.0,,,flat_sink,False,False
C00379,18,18,10.0,0.0,0.0,,,flat_sink,False,False
C00380,18,19,10.0,0.0,0.0,,,boundary_exit,True,False
C00381,19,0,16.7,0.05,10.0,E,C00382,downstream,True,False
C00382,19,1,16.2,0.05,10.0,E,C00383,downstream,True,False
C00383,19,2,15.7,0.05,10.0,E,C00384,downstream,True,False
C00384,19,3,15.2,0.05,10.0,E,C00385,downstream,True,False
C00385,19,4,14.7,0.05,10.0,E,C00386,downstream,True,False
C00386,19,5,14.2,0.05,10.0,E,C00387,downstream,True,False
C00387,19,6,13.7,0.05,10.0,E,C00388,downstream,True,False
C00388,19,7,13.2,0.05,10.0,E,C00389,downstream,True,False
C00389,19,8,12.7,0.05,10.0,E,C00390,downstream,True,False
C00390,19,9,12.2,0.05,10.0,E,C00391,downstream,True,False
C00391,19,10,11.7,0.05,10.0,E,C00392,downstream,True,False
C00392,19,11,11.2,0.05,10.0,E,C00393,downstream,True,False
C00393,19,12,10.7,0.07,10.0,E,C00394,downstream,True,False
C00394,19,13,10.0,0.0,0.0,,,boundary_exit,True,False
C00395,19,14,10.0,0.0,0.0,,,boundary_exit,True,False
C00396,19,15,10.0,0.0,0.0,,,boundary_exit,True,False
C00397,19,16,10.0,0.0,0.0,,,boundary_exit,True,False
C00398,19,17,10.0,0.0,0.0,,,boundary_exit,True,False
C00399,19,18,10.0,0.0,0.0,,,boundary_exit,True,False
C00400,19,19,10.0,0.0,0.0,,,outlet,True,True
