sensor_id,role,timestamp_min,latitude,longitude,distance_cm,water_depth_cm,battery_pct,rssi_dbm,status,is_injected_spike,is_injected_dropout
S002,ARTERIAL,25,13.059,80.209,100.0,0.0,99.4,-70.2,ONLINE,False,False
S002,ARTERIAL,30,13.059,80.209,100.0,0.0,99.2,-72.3,ONLINE,False,False
S002,ARTERIAL,35,13.059,80.209,100.0,0.0,99.2,-67.7,ONLINE,False,False
S002,ARTERIAL,40,13.059,80.209,100.0,0.0,99.1,-71.6,ONLINE,False,False
S002,ARTERIAL,45,13.059,80.209,99.98,0.02,99.0,-56.8,ONLINE,False,False
S002,ARTERIAL,50,13.059,80.209,99.43,0.57,98.9,-58.2,ONLINE,False,False
S002,ARTERIAL,55,13.059,80.209,99.54,0.46,98.8,-76.8,ONLINE,False,False
S002,ARTERIAL,60,13.059,80.209,100.0,0.0,98.6,-58.8,ONLINE,False,False
S002,ARTERIAL,65,13.059,80.209,99.27,0.73,98.5,-56.7,ONLINE,False,False
S002,ARTERIAL,70,13.059,80.209,99.32,0.68,98.4,-74.2,ONLINE,False,False
S002,ARTERIAL,75,13.059,80.209,99.23,0.77,98.3,-73.1,ONLINE,False,False
S002,ARTERIAL,80,13.059,80.209,98.66,1.34,98.2,-76.7,ONLINE,False,False
S002,ARTERIAL,85,13.059,80.209,98.34,1.66,98.1,-55.3,ONLINE,False,False
S002,ARTERIAL,90,13.059,80.209,98.17,1.83,98.0,-60.0,ONLINE,False,False
S002,ARTERIAL,95,13.059,80.209,98.5,1.5,97.9,-68.3,ONLINE,False,False
S002,ARTERIAL,100,13.059,80.209,98.14,1.86,97.8,-55.1,ONLINE,False,False
S002,ARTERIAL,105,13.059,80.209,97.75,2.25,97.7,-61.5,ONLINE,False,False
S002,ARTERIAL,110,13.059,80.209,97.37,2.63,97.6,-71.2,ONLINE,False,False
S002,ARTERIAL,115,13.059,80.209,97.62,2.38,97.4,-64.7,ONLINE,False,False
S002,ARTERIAL,120,13.059,80.209,97.37,2.63,97.3,-60.8,ONLINE,False,False
S002,ARTERIAL,125,13.059,80.209,97.49,2.51,97.3,-64.6,ONLINE,False,False
S002,ARTERIAL,130,13.059,80.209,97.38,2.62,97.2,-58.4,ONLINE,False,False
S002,ARTERIAL,135,13.059,80.209,96.65,3.35,97.1,-55.9,ONLINE,False,False
S002,ARTERIAL,140,13.059,80.209,96.38,3.62,97.1,-73.7,ONLINE,False,False
S002,ARTERIAL,145,13.059,80.209,96.71,3.29,96.9,-62.5,ONLINE,False,False
S002,ARTERIAL,150,13.059,80.209,96.3,3.7,96.9,-75.2,ONLINE,False,False
S002,ARTERIAL,155,13.059,80.209,96.43,3.57,96.7,-72.3,ONLINE,False,False
S002,ARTERIAL,160,13.059,80.209,96.67,3.33,96.6,-63.8,ONLINE,False,False
S002,ARTERIAL,165,13.059,80.209,96.32,3.68,96.5,-64.6,ONLINE,False,False
S002,ARTERIAL,170,13.059,80.209,95.93,4.07,96.4,-56.5,ONLINE,False,False
S002,ARTERIAL,175,13.059,80.209,96.38,3.62,96.4,-61.5,ONLINE,False,False
S002,ARTERIAL,180,13.059,80.209,95.88,4.12,96.3,-68.9,ONLINE,False,False
S003,BASIN,0,13.0518,80.2018,80.0,0.0,99.9,-71.1,ONLINE,False,False
S003,BASIN,5,13.0518,80.2018,79.7,0.3,99.8,-60.7,ONLINE,False,False
S003,BASIN,10,13.0518,80.2018,79.89,0.11,99.7,-67.5,ONLINE,False,False
S003,BASIN,15,13.0518,80.2018,79.95,0.05,99.6,-55.1,ONLINE,False,False
S003,BASIN,20,13.0518,80.2018,79.78,0.22,99.5,-73.1,ONLINE,False,False
S003,BASIN,25,13.0518,80.2018,80.0,0.0,99.5,-56.5,ONLINE,False,False
S003,BASIN,30,13.0518,80.2018,79.71,0.29,99.3,-57.8,ONLINE,False,False
S003,BASIN,35,13.0518,80.2018,79.44,0.56,99.2,-74.4,ONLINE,False,False
S003,BASIN,40,13.0518,80.2018,78.99,1.01,99.1,-61.8,ONLINE,False,False
S003,BASIN,45,13.0518,80.2018,79.45,0.55,99.0,-55.3,ONLINE,False,False
S003,BASIN,50,13.0518,80.2018,79.39,0.61,98.9,-77.8,ONLINE,False,False
S003,BASIN,55,13.0518,80.2018,79.14,0.86,98.7,-71.1,ONLINE,False,False
S003,BASIN,60,13.0518,80.2018,78.54,1.46,98.6,-56.4,ONLINE,False,False
S003,BASIN,65,13.0518,80.2018,78.52,1.48,98.6,-75.3,ONLINE,False,False
S003,BASIN,70,13.0518,80.2018,78.58,1.42,98.5,-65.3,ONLINE,False,False
S003,BASIN,75,13.0518,80.2018,78.05,1.95,98.4,-64.1,ONLINE,False,False
S003,BASIN,80,13.0518,80.2018,77.96,2.04,98.3,-73.3,ONLINE,False,False
S003,BASIN,85,13.0518,80.2018,77.48,2.52,98.2,-71.9,ONLINE,False,False
S003,BASIN,90,13.0518,80.2018,77.76,2.24,98.1,-57.2,ONLINE,False,False
S003,BASIN,95,13.0518,80.2018,77.42,2.58,98.0,-75.9,ONLINE,False,False
S003,BASIN,100,13.0518,80.2018,,,97.9,-71.6,STALE,False,True
S003,BASIN,105,13.0518,80.2018,,,97.8,-60.3,STALE,False,True
S003,BASIN,110,13.0518,80.2018,,,97.7,-72.0,STALE,False,True
S003,BASIN,115,13.0518,80.2018,,,97.6,-65.3,OFFLINE,False,True
S003,BASIN,120,13.0518,80.2018,,,97.5,-77.8,OFFLINE,False,True
S003,BASIN,125,13.0518,80.2018,,,97.4,-57.7,OFFLINE,False,True
S003,BASIN,130,13.0518,80.2018,,,97.3,-65.5,OFFLINE,False,True
S003,BASIN,135,13.0518,80.2018,,,97.2,-64.6,OFFLINE,False,True
S003,BASIN,140,13.0518,80.2018,,,97.1,-75.1,OFFLINE,False,True
S003,BASIN,145,13.0518,80.2018,75.91,4.09,97.0,-57.3,ONLINE,False,False
S003,BASIN,150,13.0518,80.2018,75.63,4.37,96.9,-58.2,ONLINE,False,False
S003,BASIN,155,13.0518,80.2018,75.39,4.61,96.7,-73.2,ONLINE,False,False
S003,BASIN,160,13.0518,80.2018,74.89,5.11,96.7,-75.6,ONLINE,False,False
S003,BASIN,165,13.0518,80.2018,75.35,4.65,96.5,-57.7,ONLINE,False,False
S003,BASIN,170,13.0518,80.2018,75.29,4.71,96.4,-63.7,ONLINE,False,False
S003,BASIN,175,13.0518,80.2018,75.36,4.64,96.4,-56.6,ONLINE,False,False
S003,BASIN,180,13.0518,80.2018,75.89,4.11,96.2,-55.5,ONLINE,False,False
S004,DEPRESSION,0,13.0536,80.2036,90.0,0.0,99.9,-57.7,ONLINE,False,False
S004,DEPRESSION,5,13.0536,80.2036,89.98,0.02,99.8,-61.1,ONLINE,False,False
S004,DEPRESSION,10,13.0536,80.2036,89.26,0.74,99.7,-56.6,ONLINE,False,False
S004,DEPRESSION,15,13.0536,80.2036,90.0,0.0,99.6,-58.1,ONLINE,False,False
S004,DEPRESSION,20,13.0536,80.2036,89.91,0.09,99.5,-71.9,ONLINE,False,False
S004,DEPRESSION,25,13.0536,80.2036,90.0,0.0,99.3,-75.5,ONLINE,False,False
S004,DEPRESSION,30,13.0536,80.2036,90.0,0.0,99.2,-58.3,ONLINE,False,False
S004,DEPRESSION,35,13.0536,80.2036,89.66,0.34,99.1,-59.2,ONLINE,False,False
S004,DEPRESSION,40,13.0536,80.2036,89.77,0.23,99.0,-71.0,ONLINE,False,False
S004,DEPRESSION,45,13.0536,80.2036,89.76,0.24,98.9,-72.8,ONLINE,False,False
S004,DEPRESSION,50,13.0536,80.2036,90.0,0.0,98.9,-73.6,ONLINE,False,False
S004,DEPRESSION,55,13.0536,80.2036,89.55,0.45,98.8,-58.1,ONLINE,False,False
S004,DEPRESSION,60,13.0536,80.2036,90.0,0.0,98.6,-71.6,ONLINE,False,False
S004,DEPRESSION,65,13.0536,80.2036,89.71,0.29,98.5,-68.8,ONLINE,False,False
S004,DEPRESSION,70,13.0536,80.2036,89.16,0.84,98.4,-65.7,ONLINE,False,False
S004,DEPRESSION,75,13.0536,80.2036,90.0,0.0,98.2,-75.3,ONLINE,False,False
S004,DEPRESSION,80,13.0536,80.2036,89.8,0.2,98.1,-73.9,ONLINE,False,False
S004,DEPRESSION,85,13.0536,80.2036,89.48,0.52,97.9,-71.9,ONLINE,False,False
S004,DEPRESSION,90,13.0536,80.2036,89.54,0.46,97.9,-68.0,ONLINE,False,False
S004,DEPRESSION,95,13.0536,80.2036,89.72,0.28,97.7,-70.8,ONLINE,False,False
S004,DEPRESSION,100,13.0536,80.2036,89.1,0.9,97.6,-66.2,ONLINE,False,False
S004,DEPRESSION,105,13.0536,80.2036,89.31,0.69,97.5,-64.7,ONLINE,False,False
S004,DEPRESSION,110,13.0536,80.2036,88.71,1.29,97.5,-61.7,ONLINE,False,False
S004,DEPRESSION,115,13.0536,80.2036,89.0,1.0,97.4,-56.7,ONLINE,False,False
S004,DEPRESSION,120,13.0536,80.2036,88.13,1.87,97.3,-61.5,ONLINE,False,False
S004,DEPRESSION,125,13.0536,80.2036,88.71,1.29,97.2,-62.6,ONLINE,False,False
S004,DEPRESSION,130,13.0536,80.2036,88.47,1.53,97.1,-76.4,ONLINE,False,False
S004,DEPRESSION,135,13.0536,80.2036,88.03,1.97,97.0,-70.4,ONLINE,False,False
S004,DEPRESSION,140,13.0536,80.2036,88.55,1.45,96.9,-58.5,ONLINE,False,False
S004,DEPRESSION,145,13.0536,80.2036,88.04,1.96,96.8,-71.1,ONLINE,False,False
S004,DEPRESSION,150,13.0536,80.2036,87.65,2.35,96.7,-68.6,ONLINE,False,False
S004,DEPRESSION,155,13.0536,80.2036,88.47,1.53,96.6,-71.2,ONLINE,False,False
S004,DEPRESSION,160,13.0536,80.2036,87.89,2.11,96.6,-68.3,ONLINE,False,False
S004,DEPRESSION,165,13.0536,80.2036,87.83,2.17,96.4,-62.4,ONLINE,False,False
S004,DEPRESSION,170,13.0536,80.2036,87.64,2.36,96.3,-63.8,ONLINE,False,False
S004,DEPRESSION,175,13.0536,80.2036,88.23,1.77,96.2,-65.4,ONLINE,False,False
S004,DEPRESSION,180,13.0536,80.2036,88.24,1.76,96.1,-71.4,ONLINE,False,False
S005,ELEVATED,0,13.0644,80.2036,119.84,0.16,99.9,-64.7,ONLINE,False,False
S005,ELEVATED,5,13.0644,80.2036,119.91,0.09,99.8,-67.3,ONLINE,False,False
S005,ELEVATED,10,13.0644,80.2036,119.92,0.08,99.7,-73.1,ONLINE,False,False
S005,ELEVATED,15,13.0644,80.2036,119.9,0.1,99.6,-57.3,ONLINE,False,False
S005,ELEVATED,20,13.0644,80.2036,120.0,0.0,99.5,-74.1,ONLINE,False,False
S005,ELEVATED,25,13.0644,80.2036,119.93,0.07,99.4,-66.1,ONLINE,False,False
S005,ELEVATED,30,13.0644,80.2036,119.9,0.1,99.3,-70.3,ONLINE,False,False
S005,ELEVATED,35,13.0644,80.2036,120.0,0.0,99.2,-60.7,ONLINE,False,False
S005,ELEVATED,40,13.0644,80.2036,119.35,0.65,99.0,-72.8,ONLINE,False,False
S005,ELEVATED,45,13.0644,80.2036,119.7,0.3,99.0,-77.4,ONLINE,False,False
S005,ELEVATED,50,13.0644,80.2036,120.0,0.0,98.9,-67.1,ONLINE,False,False
S005,ELEVATED,55,13.0644,80.2036,119.45,0.55,98.8,-76.3,ONLINE,False,False
S005,ELEVATED,60,13.0644,80.2036,119.81,0.19,98.7,-63.5,ONLINE,False,False
S005,ELEVATED,65,13.0644,80.2036,119.13,0.87,98.6,-62.0,ONLINE,False,False
S005,ELEVATED,70,13.0644,80.2036,118.86,1.14,98.5,-72.4,ONLINE,False,False
S005,ELEVATED,75,13.0644,80.2036,119.28,0.72,98.4,-77.9,ONLINE,False,False
S005,ELEVATED,80,13.0644,80.2036,118.55,1.45,98.3,-60.3,ONLINE,False,False
S005,ELEVATED,85,13.0644,80.2036,118.52,1.48,98.2,-68.2,ONLINE,False,False
S005,ELEVATED,90,13.0644,80.2036,118.2,1.8,98.1,-56.0,ONLINE,False,False
S005,ELEVATED,95,13.0644,80.2036,30,90.0,98.0,-76.8,ONLINE,True,False
S005,ELEVATED,100,13.0644,80.2036,118.12,1.88,98.0,-58.5,ONLINE,False,False
S005,ELEVATED,105,13.0644,80.2036,118.07,1.93,97.9,-59.6,ONLINE,False,False
S005,ELEVATED,110,13.0644,80.2036,117.93,2.07,97.8,-55.3,ONLINE,False,False
S005,ELEVATED,115,13.0644,80.2036,117.73,2.27,97.6,-56.1,ONLINE,False,False
S005,ELEVATED,120,13.0644,80.2036,117.34,2.66,97.5,-63.9,ONLINE,False,False
S005,ELEVATED,125,13.0644,80.2036,117.06,2.94,97.4,-66.4,ONLINE,False,False
S005,ELEVATED,130,13.0644,80.2036,116.94,3.06,97.2,-65.4,ONLINE,False,False
S005,ELEVATED,135,13.0644,80.2036,116.65,3.35,97.1,-60.9,ONLINE,False,False
S005,ELEVATED,140,13.0644,80.2036,116.78,3.22,97.0,-72.0,ONLINE,False,False
S005,ELEVATED,145,13.0644,80.2036,116.25,3.75,96.9,-63.3,ONLINE,False,False
S005,ELEVATED,150,13.0644,80.2036,116.68,3.32,96.8,-66.0,ONLINE,False,False
S005,ELEVATED,155,13.0644,80.2036,115.72,4.28,96.7,-71.7,ONLINE,False,False
S005,ELEVATED,160,13.0644,80.2036,116.29,3.71,96.6,-71.4,ONLINE,False,False
S005,ELEVATED,165,13.0644,80.2036,116.69,3.31,96.6,-70.6,ONLINE,False,False
S005,ELEVATED,170,13.0644,80.2036,116.72,3.28,96.5,-74.8,ONLINE,False,False
S005,ELEVATED,175,13.0644,80.2036,116.22,3.78,96.4,-62.0,ONLINE,False,False
S005,ELEVATED,180,13.0644,80.2036,116.41,3.59,96.3,-76.5,ONLINE,False,False
S006,OUTFALL,0,13.0662,80.2162,99.79,0.21,99.9,-65.5,ONLINE,False,False
S006,OUTFALL,5,13.0662,80.2162,99.86,0.14,99.8,-73.2,ONLINE,False,False
S006,OUTFALL,10,13.0662,80.2162,100.0,0.0,99.7,-57.2,ONLINE,False,False
S006,OUTFALL,15,13.0662,80.2162,100.0,0.0,99.6,-62.0,ONLINE,False,False
S006,OUTFALL,20,13.0662,80.2162,100.0,0.0,99.5,-60.4,ONLINE,False,False
S006,OUTFALL,25,13.0662,80.2162,100.0,0.0,99.4,-77.9,ONLINE,False,False
S006,OUTFALL,30,13.0662,80.2162,99.74,0.26,99.3,-60.7,ONLINE,False,False
S006,OUTFALL,35,13.0662,80.2162,99.94,0.06,99.2,-56.1,ONLINE,False,False
S006,OUTFALL,40,13.0662,80.2162,100.0,0.0,99.1,-60.8,ONLINE,False,False
S006,OUTFALL,45,13.0662,80.2162,99.92,0.08,99.0,-64.1,ONLINE,False,False
S006,OUTFALL,50,13.0662,80.2162,99.82,0.18,98.9,-73.0,ONLINE,False,False
S006,OUTFALL,55,13.0662,80.2162,100.0,0.0,98.8,-77.3,ONLINE,False,False
S006,OUTFALL,60,13.0662,80.2162,99.76,0.24,98.7,-62.4,ONLINE,False,False
S006,OUTFALL,65,13.0662,80.2162,99.69,0.31,98.6,-74.2,ONLINE,False,False
S006,OUTFALL,70,13.0662,80.2162,99.94,0.06,98.5,-75.1,ONLINE,False,False
S006,OUTFALL,75,13.0662,80.2162,99.36,0.64,98.4,-77.4,ONLINE,False,False
S006,OUTFALL,80,13.0662,80.2162,99.16,0.84,98.3,-65.0,ONLINE,False,False
S006,OUTFALL,85,13.0662,80.2162,98.85,1.15,98.3,-63.2,ONLINE,False,False
S006,OUTFALL,90,13.0662,80.2162,98.7,1.3,98.2,-67.4,ONLINE,False,False
S006,OUTFALL,95,13.0662,80.2162,99.26,0.74,98.2,-69.3,ONLINE,False,False
S006,OUTFALL,100,13.0662,80.2162,98.96,1.04,98.1,-70.5,ONLINE,False,False
S006,OUTFALL,105,13.0662,80.2162,98.36,1.64,98.0,-69.3,ONLINE,False,False
S006,OUTFALL,110,13.0662,80.2162,98.19,1.81,97.8,-58.9,ONLINE,False,False
S006,OUTFALL,115,13.0662,80.2162,98.04,1.96,97.8,-76.1,ONLINE,False,False
S006,OUTFALL,120,13.0662,80.2162,96.89,3.11,97.7,-65.6,ONLINE,False,False
S006,OUTFALL,125,13.0662,80.2162,97.74,2.26,97.6,-70.0,ONLINE,False,False
S006,OUTFALL,130,13.0662,80.2162,97.44,2.56,97.5,-60.0,ONLINE,False,False
S006,OUTFALL,135,13.0662,80.2162,97.38,2.62,97.3,-60.7,ONLINE,False,False
S006,OUTFALL,140,13.0662,80.2162,97.37,2.63,97.2,-73.4,ONLINE,False,False
S006,OUTFALL,145,13.0662,80.2162,97.58,2.42,97.1,-74.5,ONLINE,False,False
S006,OUTFALL,150,13.0662,80.2162,97.18,2.82,97.1,-62.6,ONLINE,False,False
S006,OUTFALL,155,13.0662,80.2162,97.58,2.42,97.0,-73.0,ONLINE,False,False
S006,OUTFALL,160,13.0662,80.2162,97.36,2.64,96.9,-60.4,ONLINE,False,False
S006,OUTFALL,165,13.0662,80.2162,97.4,2.6,96.8,-64.0,ONLINE,False,False
S006,OUTFALL,170,13.0662,80.2162,97.19,2.81,96.7,-75.4,ONLINE,False,False
S006,OUTFALL,175,13.0662,80.2162,96.5,3.5,96.5,-55.8,ONLINE,False,False
S006,OUTFALL,180,13.0662,80.2162,97.73,2.27,96.5,-77.4,ONLINE,False,False
