rainfall_intensity_mm_per_hr,duration_hr,timestep_min,drainage_degradation_factor,scenario_id,max_water_depth_at_sensor_mm
96.95,3.7,5,0.5,224,131.7618235410316
27.79,3.2,15,0.97,225,0.0
77.98,3.7,15,0.14,226,288.97064831587755
13.59,5.4,15,0.97,227,4.440892098500626e-16
86.22,2.8,5,0.76,228,44.56696816090437
53.52,2.8,10,0.44,229,36.5864982197901
98.1,2.8,20,0.41,230,200.99980511967448
27.29,4.2,10,0.37,231,8.881784197001252e-16
23.0,2.8,5,0.81,232,0.0
78.37,5.1,15,0.6,233,162.4072378155626
43.56,2.0,15,0.35,234,14.96531524401911
91.13,5.6,10,0.7,235,172.70706398947416
91.62,3.5,5,0.54,236,108.0789701027752
46.94,4.9,5,0.54,237,8.881784197001252e-16
37.86,4.3,5,0.66,238,4.440892098500626e-16
11.79,2.3,20,0.5,239,0.0
70.45,5.7,20,0.75,240,53.05194756051556
75.24,1.7,15,0.97,241,3.552713678800501e-15
12.95,2.4,5,0.88,242,0.0
62.27,2.9,20,0.18,243,152.58367853979954
54.26,2.6,5,0.17,244,74.67160246482324
60.04,2.6,5,0.95,245,8.881784197001252e-16
94.14,2.4,20,0.82,246,30.626558138713285
86.45,2.4,10,0.17,247,203.73932966931702
58.84,2.7,20,0.63,248,0.6663304394507356
69.26,4.7,5,0.45,249,69.1960858069825
79.12,4.8,10,0.7,250,98.10644235565779
52.98,1.6,20,0.2,251,47.11663110006073
25.85,3.4,10,0.93,252,0.0
87.59,2.4,20,0.39,253,143.05200766929383
16.58,5.6,15,0.55,254,0.0
57.29,4.7,20,0.14,255,262.59547922048824
28.52,4.2,10,0.66,256,8.881784197001252e-16
42.77,4.6,5,0.51,257,0.0
63.79,2.7,5,0.54,258,29.271913256667947
45.89,5.0,20,0.59,259,3.552713678800501e-15
96.87,3.7,20,0.53,260,229.75722437708686
12.85,5.8,10,0.18,261,0.0
22.05,3.1,20,0.15,262,19.692888175880608
26.43,3.8,15,0.57,263,0.0
48.69,3.6,10,0.35,264,60.95756347318594
67.4,2.5,15,0.57,265,36.548722853382976
26.86,5.8,15,0.44,266,0.0
15.71,1.0,10,0.89,267,0.0
59.6,1.9,15,0.25,268,72.04545692003758
83.84,2.3,5,0.97,269,0.43315193214423575
68.53,4.3,5,0.76,270,4.760578084152384
60.81,5.8,20,0.53,271,104.71629419032026
27.68,1.6,5,0.67,272,0.0
46.9,3.1,5,0.44,273,8.942587997174737
12.37,5.7,5,0.83,274,0.0
51.6,4.5,20,0.12,275,221.95831979065116
72.88,1.2,20,0.78,276,3.552713678800501e-15
26.01,5.6,20,0.66,277,1.7763568394002505e-15
50.1,4.1,20,0.59,278,3.552713678800501e-15
34.79,1.6,20,0.41,279,0.0
88.62,5.1,20,0.24,280,433.08641820141906
75.97,4.6,10,0.66,281,94.32369313180455
63.11,4.6,20,0.18,282,259.1424011591422
59.57,1.6,5,0.98,283,8.881784197001252e-16
19.4,2.5,20,0.47,284,8.881784197001252e-16
87.67,5.2,20,0.39,285,342.7299821067627
67.79,4.8,20,0.53,286,120.2337434674834
84.69,2.5,15,0.3,287,181.14247951947857
95.59,4.1,5,0.46,288,138.45412944203622
85.21,2.6,10,0.32,289,170.14022833191652
32.4,3.6,20,0.73,290,1.7763568394002505e-15
59.94,2.8,20,0.17,291,147.6334470801861
93.23,3.8,20,0.48,292,234.29937628581166
23.01,4.9,20,0.88,293,0.0
10.57,4.7,10,0.23,294,2.220446049250313e-16
28.17,5.2,15,0.77,295,0.0
19.86,2.4,20,0.28,296,0.0
22.71,5.9,10,0.5,297,0.0
46.0,1.5,5,0.61,298,0.0
62.41,3.8,10,0.89,299,1.7763568394002505e-15
20.87,3.9,5,0.16,300,2.7670668203336466
26.88,4.8,10,0.51,301,0.0
43.87,1.5,15,0.36,302,6.050341484047132
79.36,1.0,20,0.19,303,68.11328082975963
60.4,4.0,5,0.6,304,14.18740953478132
41.52,3.3,15,0.55,305,0.0
88.49,4.8,10,0.29,306,292.94061351720615
46.88,3.1,20,0.61,307,0.0
90.09,5.0,20,0.86,308,103.63778245803157
87.22,3.9,15,0.76,309,95.74283060067837
89.96,1.7,5,0.7,310,43.52771905323699
18.78,2.9,5,0.63,311,2.220446049250313e-16
29.25,1.4,5,0.8,312,0.0
24.32,4.1,15,0.93,313,8.881784197001252e-16
68.49,3.4,15,0.47,314,101.02807780406692
26.56,5.7,5,0.24,315,0.1572981308861768
78.83,2.2,20,0.77,316,2.6824862408356505
18.37,3.5,20,0.88,317,8.881784197001252e-16
92.78,2.5,5,0.97,318,19.966244342859273
92.16,1.7,20,0.46,319,84.82355665548407
79.06,3.6,15,0.93,320,3.789738324138442
80.24,5.1,10,0.37,321,230.80393785200826
80.56,1.5,5,0.9,322,0.03400384192726641
70.9,5.6,10,0.36,323,195.2941628110723
16.2,4.6,5,0.23,324,0.0
13.11,3.7,20,0.12,325,0.8438274293500843
88.93,3.9,5,0.28,326,154.45136351952868
79.3,6.0,15,0.95,327,27.585853082753513
21.18,5.2,15,0.63,328,8.881784197001252e-16
37.96,3.1,5,0.98,329,4.440892098500626e-16
20.55,5.9,15,0.32,330,8.881784197001252e-16
13.06,5.4,5,0.74,331,0.0
39.85,4.6,10,0.23,332,76.43966539837264
31.03,2.2,20,0.26,333,4.489455472335022
70.51,4.6,20,0.36,334,210.33495707419723
31.66,1.5,10,0.17,335,20.7183329554499
12.05,4.5,20,0.23,336,0.0
12.81,3.7,15,0.71,337,4.440892098500626e-16
92.97,2.6,20,0.59,338,94.01813587326264
53.15,5.9,5,0.28,339,60.452853984235595
15.1,1.7,10,0.56,340,0.0
56.46,3.7,10,0.31,341,110.10376396488408
68.01,2.9,5,0.96,342,8.881784197001252e-16
93.3,5.1,20,0.57,343,279.7773362218568
65.98,4.4,20,0.48,344,122.27529590767757
49.62,1.2,10,0.81,345,0.0
82.3,2.8,15,0.72,346,50.52891676126296
70.2,4.2,20,0.59,347,81.18455105123712
61.06,1.4,20,0.11,348,79.97206427155182
54.35,5.8,10,0.7,349,0.0
65.37,3.3,10,0.54,350,60.90547979850015
43.65,1.8,5,0.94,351,0.0
98.12,2.2,10,0.55,352,127.16337573766779
43.36,1.1,10,1.0,353,0.0
14.54,4.3,10,0.41,354,0.0
20.86,3.0,5,0.73,355,2.220446049250313e-16
93.73,3.1,20,0.43,356,205.19730570865156
13.17,4.6,5,0.65,357,0.0
37.69,2.3,5,0.61,358,4.440892098500626e-16
54.79,3.1,15,0.82,359,0.0
83.97,1.5,20,0.47,360,45.44576724504392
32.47,2.7,10,0.91,361,8.881784197001252e-16
17.87,3.0,5,0.57,362,2.220446049250313e-16
13.92,5.8,20,0.85,363,0.0
47.89,3.1,20,0.62,364,3.552713678800501e-15
69.24,1.5,15,0.59,365,9.662233543889524
81.85,3.2,10,0.62,366,100.20878015178184
84.33,3.7,10,0.59,367,136.62189734382008
23.24,5.8,5,0.72,368,2.220446049250313e-16
29.48,2.6,10,0.31,369,0.0
35.87,4.6,5,0.2,370,30.773668850105718
83.88,4.2,20,0.26,371,315.2575293796881
48.02,2.7,10,0.65,372,1.7763568394002505e-15
79.77,2.2,15,0.27,373,135.2456300777473
32.82,1.0,15,0.56,374,0.0
93.79,5.0,5,0.14,375,200.67730422364625
39.03,1.6,10,0.35,376,2.861430256347636
66.19,4.6,10,0.9,377,0.0
12.37,4.9,15,0.46,378,4.440892098500626e-16
68.9,4.1,20,0.7,379,30.351278476613516
44.74,1.0,5,0.66,380,0.0
39.07,3.7,20,0.3,381,43.253362163586544
60.54,5.0,10,0.15,382,213.07242956469793
47.71,1.9,5,0.65,383,0.0
24.7,4.7,15,0.17,384,38.22448788446888
24.73,5.1,15,0.14,385,57.21040179488868
32.94,1.3,20,0.19,386,8.941021600981514
63.51,1.6,5,0.41,387,36.201263427505395
34.48,1.7,10,0.96,388,0.0
97.09,4.9,5,0.1,389,217.65049749665434
62.51,4.3,5,0.79,390,8.881784197001252e-16
27.92,3.5,5,0.54,391,0.0
42.57,3.6,20,0.56,392,0.0
98.58,5.3,20,0.88,393,146.7952532010668
44.4,4.9,10,0.26,394,90.52301201536685
57.78,1.5,5,0.21,395,54.783191641843906
28.73,3.9,5,0.77,396,0.0
46.34,2.6,15,0.56,397,0.0
21.18,1.4,15,0.96,398,0.0
26.0,5.0,10,0.52,399,0.0
42.98,3.2,20,0.88,400,1.7763568394002505e-15
78.1,1.1,15,0.4,401,36.15098685724281
37.8,1.1,20,0.35,402,0.0
59.57,2.2,20,0.71,403,3.552713678800501e-15
80.86,4.8,10,0.27,404,262.60084540358923
46.99,3.6,20,0.47,405,9.778072557745453
35.23,1.6,15,0.24,406,12.396240128335926
27.14,2.0,20,0.21,407,6.769868890211647
18.67,5.7,10,0.46,408,4.440892098500626e-16
13.64,1.6,15,0.14,409,0.0
40.71,4.3,15,0.4,410,22.110901307087072
31.34,3.7,20,1.0,411,1.7763568394002505e-15
37.28,4.7,15,0.72,412,1.7763568394002505e-15
91.56,4.6,20,0.87,413,82.22203794776297
77.34,5.8,20,0.45,414,272.3835597139517
77.63,6.0,15,0.51,415,233.35288966736798
16.41,3.7,5,0.18,416,0.0
96.34,4.8,10,0.46,417,269.8599544691216
36.84,4.8,5,0.46,418,4.440892098500626e-16
74.82,4.8,20,0.66,419,97.6173357956127
63.34,1.4,20,0.76,420,3.552713678800501e-15
28.35,3.4,5,0.85,421,0.0
34.47,3.7,10,0.31,422,18.149680105962695
27.25,2.1,5,0.26,423,4.440892098500626e-16
90.92,1.6,10,0.82,424,17.059115855590292
32.72,3.0,5,0.48,425,4.440892098500626e-16
99.61,2.9,5,0.27,426,173.00382820978734
33.9,2.5,15,0.48,427,0.0
13.71,2.7,10,0.56,428,0.0
98.39,5.7,5,0.69,429,103.72646063888038
89.57,5.7,20,0.15,430,542.4528654580498
40.27,1.3,15,0.74,431,0.0
16.27,1.2,10,0.37,432,0.0
97.68,1.3,20,0.8,433,2.343609497920964
54.82,4.0,15,0.64,434,2.7539254527004013
65.5,5.5,15,0.74,435,30.647724673851137
96.77,5.2,5,0.57,436,122.77798657998432
92.57,5.4,10,0.8,437,140.10846735336392
45.36,5.2,15,0.57,438,0.0
71.02,3.4,20,0.69,439,26.66799079137828
56.9,2.5,20,0.68,440,0.0
57.67,5.0,15,0.34,441,160.01108572449965
61.47,3.2,5,0.76,442,0.0
22.6,4.8,20,0.88,443,0.0
25.52,3.4,10,0.3,444,8.881784197001252e-16
83.67,5.2,15,0.38,445,301.4003723288165
20.09,4.6,15,0.57,446,8.881784197001252e-16
94.5,1.9,20,0.56,447,64.88916828564822
91.12,3.4,20,0.96,448,17.41632502878739
54.61,3.0,15,0.24,449,118.01219490337735
82.5,4.9,15,0.95,450,27.150227283414058
90.71,4.4,15,0.63,451,190.26980150436367
66.42,4.4,10,0.12,452,237.83715550742883
71.61,1.9,5,0.97,453,0.0
75.7,3.3,5,0.79,454,15.536422643049095
33.6,5.8,10,0.4,455,8.881784197001252e-16
53.38,4.1,10,0.32,456,99.82154212901408
20.23,4.8,20,0.37,457,8.881784197001252e-16
81.76,5.7,20,0.33,458,376.900581802155
67.55,4.1,10,0.68,459,41.16120340262951
55.5,1.8,15,0.76,460,0.0
25.39,2.8,10,0.44,461,0.0
51.66,3.9,5,0.78,462,8.881784197001252e-16
23.46,5.2,15,0.4,463,8.881784197001252e-16
78.16,3.5,20,0.62,464,80.47341491344275
53.39,4.1,10,0.54,465,25.68386803841128
58.76,4.3,20,0.16,466,225.53125937333058
73.43,5.6,10,0.94,467,3.552713678800501e-15
71.61,3.8,20,0.47,468,128.6550518490793
19.76,1.6,10,0.53,469,4.440892098500626e-16
11.71,3.2,15,0.9,470,4.440892098500626e-16
11.48,1.7,10,0.7,471,0.0
42.23,4.2,10,0.24,472,80.05625746741215
24.82,5.8,10,0.19,473,25.97005380543201
83.34,5.2,5,0.25,474,149.35319131104006
83.09,5.8,20,0.88,475,69.85363933501868
94.52,5.1,15,0.33,476,393.0050806230766
64.31,1.1,15,0.31,477,32.05739906289459
98.41,1.3,20,0.46,478,49.174122958466555
18.99,5.3,15,0.47,479,0.0
16.9,2.9,5,0.22,480,2.220446049250313e-16
97.91,4.4,15,0.82,481,146.62938917889406
30.28,1.1,15,0.54,482,0.0
84.41,5.9,20,0.96,483,39.89771054774545
99.84,2.1,5,0.37,484,134.31633342312733
97.99,5.7,15,0.71,485,251.79088921471325
80.5,5.1,15,0.19,486,373.774626002776
68.51,1.8,10,0.97,487,1.7763568394002505e-15
89.08,1.5,10,0.81,488,15.582189910027195
91.19,4.4,20,0.63,489,194.41046118655544
28.87,4.1,5,0.91,490,0.0
43.98,4.5,15,0.89,491,1.7763568394002505e-15
48.01,3.8,20,0.56,492,3.552713678800501e-15
22.67,3.1,20,0.23,493,0.019131556445468333
76.94,4.2,5,0.6,494,59.23842175239291
75.41,6.0,10,0.14,495,310.54051179012214
34.37,1.2,20,0.14,496,18.77424124746991
36.69,4.8,5,0.86,497,4.440892098500626e-16
65.18,4.3,5,0.52,498,43.334124848116886
42.28,3.3,10,0.9,499,0.0
53.25,1.8,10,0.25,500,54.62388664012376
85.91,5.9,10,0.18,501,348.7253206316313
69.9,2.4,15,0.65,502,17.20344873523924
29.34,5.5,5,0.31,503,4.440892098500626e-16
11.28,3.0,5,0.77,504,1.1102230246251565e-16
14.08,4.5,15,0.8,505,4.440892098500626e-16
95.92,5.0,10,0.78,506,158.75011429592985
93.33,2.0,10,0.96,507,13.561061147453325
85.58,3.4,15,0.14,508,304.1282706220623
56.09,4.4,10,0.11,509,192.79438176154164
11.91,1.4,20,0.72,510,0.0
52.47,3.3,20,0.12,511,157.13060727673647
56.38,1.9,15,0.94,512,0.0
27.4,1.8,5,0.24,513,0.1474299431489751
72.0,1.9,20,0.83,514,0.0
12.22,1.5,15,0.46,515,0.0
98.96,5.2,5,0.57,516,129.000486795289
11.4,5.5,15,0.43,517,4.440892098500626e-16
78.47,1.2,20,0.1,518,81.41622464156006
63.33,2.0,15,0.28,519,86.88741999248933
76.26,4.5,5,0.15,520,148.35550435218158
56.98,5.3,15,0.68,521,7.544999372473601
93.36,2.0,15,0.15,522,206.1920746706126
94.52,5.0,20,0.82,523,151.84805071001736
81.7,3.4,15,0.92,524,8.8326773706389
22.8,3.4,15,0.52,525,0.0
19.18,3.7,20,0.99,526,8.881784197001252e-16
65.72,5.6,5,0.4,527,70.39931923527264
16.86,1.1,5,0.1,528,2.3805977145016337
23.73,5.3,20,0.15,529,51.685289236215326
95.06,3.0,15,0.35,530,244.47124130467685
72.66,4.3,15,0.95,531,0.0
38.01,3.7,5,0.38,532,0.06689434765514406
37.44,5.6,5,0.93,533,4.440892098500626e-16
78.79,3.9,20,0.28,534,253.14092931467715
45.25,4.5,15,0.52,535,4.006681997455497
78.72,1.8,20,0.42,536,64.68393950069925
38.44,3.0,20,0.75,537,0.0
57.13,2.5,5,0.97,538,8.881784197001252e-16
74.03,1.9,15,0.93,539,3.552713678800501e-15
28.44,6.0,10,0.85,540,8.881784197001252e-16
58.42,1.6,10,0.61,541,0.09476697274935432
63.61,2.3,5,0.55,542,23.434930858655147
15.62,4.6,10,0.49,543,4.440892098500626e-16
76.38,1.6,15,0.16,544,113.48542502816447
90.3,4.9,15,0.97,545,59.213134021529875
75.27,5.6,20,0.37,546,288.2251022807284
20.86,4.2,15,0.95,547,8.881784197001252e-16
12.26,1.2,20,0.46,548,0.0
59.38,3.5,20,0.85,549,0.0
16.54,5.7,10,0.16,550,4.440892098500626e-16
93.08,2.8,5,0.7,551,73.1927148086167
21.32,4.4,10,0.37,552,0.0
99.46,2.8,20,0.11,553,316.56417396601387
46.38,5.6,10,0.25,554,110.18846058838847
19.14,1.8,20,1.0,555,0.0
86.63,1.5,20,0.57,556,29.35418682640439
73.65,2.7,20,0.89,557,0.0
94.65,2.7,20,0.24,558,250.778168538487
27.34,3.8,5,0.2,559,9.442373614638084
46.12,2.7,15,0.52,560,0.0
24.83,3.8,20,0.11,561,59.000918268051464
15.77,5.6,15,0.83,562,0.0
25.5,3.9,20,0.59,563,0.0
76.16,1.3,20,0.69,564,0.0
72.79,5.9,5,0.22,565,126.5120617049181
21.82,5.4,20,0.72,566,0.0
66.69,2.5,10,0.67,567,16.64997726796197
50.03,2.5,15,0.42,568,24.559387918729804
58.93,5.8,10,0.96,569,0.0
84.28,2.1,10,0.88,570,8.977992109444083
34.95,4.9,20,0.97,571,1.7763568394002505e-15
32.85,4.0,10,0.18,572,57.66038582969766
30.8,1.4,10,0.23,573,5.853379147946892
12.4,3.2,10,0.41,574,0.0
72.4,3.3,15,0.39,575,149.08729076678145
51.38,5.5,20,0.21,576,212.7635938736769
55.79,1.0,10,0.53,577,0.0043445302463570815
30.11,3.5,5,0.78,578,4.440892098500626e-16
38.29,4.1,15,0.8,579,1.7763568394002505e-15
36.6,5.9,20,0.69,580,1.7763568394002505e-15
14.07,1.9,5,0.88,581,0.0
27.03,1.2,10,0.36,582,0.0
99.82,2.3,5,0.33,583,147.17591212110653
42.89,1.6,5,0.7,584,0.0
